order_id,product_name,category,price_inr,quantity_sold,total_sales_inr,order_date,payment_method,customer_rating,month,year,profit_inr,discount_percent,customer_segment,region,calculated_sales,sales_difference,profit_margin_percent,revenue_per_unit,profit_per_unit,month_number,quarter,year_month,discount_amount,net_sales_after_discount,month_start
ORD00011,Perfume,Beauty,46409.57,5,232047.85,08-02-2025,UPI,2.3,February,2025,46409.57,15,Online,West,232047.85,0,20.00%,46409.57,9281.914,2,Q1,Feb-25,34807.1775,197240.67,Feb-25
ORD00012,Lipstick,Beauty,48780.78,5,243903.9,13-04-2024,UPI,1.3,April,2024,48780.78,15,Retail,South,243903.9,0,20.00%,48780.78,9756.156,4,Q2,Apr-24,36585.585,207318.32,Apr-24
ORD00013,Educational Book,Books,6670.82,5,33354.1,23-02-2024,COD,1.2,February,2024,6670.82,28,Online,South,33354.1,0,20.00%,6670.82,1334.164,2,Q1,Feb-24,9339.148,24014.95,Feb-24
ORD00014,Smartphone,Electronics,10826.05,1,10826.05,02-06-2024,Wallet,3.7,June,2024,2165.21,25,Retail,East,10826.05,0,20.00%,10826.05,2165.21,6,Q2,Jun-24,2706.5125,8119.54,Jun-24
ORD00015,Comic Book,Books,6839.1,1,6839.1,12-09-2024,Credit Card,1.6,September,2024,1367.82,8,Wholesale,South,6839.1,0,20.00%,6839.1,1367.82,9,Q3,Sep-24,547.128,6291.97,Sep-24
ORD00016,Mixer Grinder,Home & Kitchen,18197.89,5,90989.45,30-03-2024,Debit Card,1.6,March,2024,18197.89,12,Online,South,90989.45,0,20.00%,18197.89,3639.578,3,Q1,Mar-24,10918.734,80070.72,Mar-24
ORD00017,Cookbook,Books,20817.46,2,41634.92,30-03-2024,Debit Card,2.3,March,2024,8326.984,28,Retail,East,41634.92,0,20.00%,20817.46,4163.492,3,Q1,Mar-24,11657.7776,29977.14,Mar-24
ORD00018,Perfume,Beauty,44061.25,4,176245,22-04-2024,COD,2.5,April,2024,35249,7,Retail,South,176245,0,20.00%,44061.25,8812.25,4,Q2,Apr-24,12337.15,163907.85,Apr-24
ORD00019,Cookbook,Books,4398.59,5,21992.95,22-03-2024,Wallet,4,March,2024,4398.59,26,Online,South,21992.95,0,20.00%,4398.59,879.718,3,Q1,Mar-24,5718.167,16274.78,Mar-24
ORD00020,T-Shirt,Clothing,32565.77,5,162828.85,06-01-2025,COD,4.4,January,2025,32565.77,25,Wholesale,South,162828.85,0,20.00%,32565.77,6513.154,1,Q1,Jan-25,40707.2125,122121.64,Jan-25
ORD00021,Cookware Set,Home & Kitchen,47529.36,1,47529.36,09-07-2024,Net Banking,4.5,July,2024,9505.872,6,Wholesale,South,47529.36,0,20.00%,47529.36,9505.872,7,Q3,Jul-24,2851.7616,44677.6,Jul-24
ORD00022,Jeans,Clothing,37129.73,3,111389.19,22-01-2025,Wallet,4.3,January,2025,22277.838,28,Wholesale,East,111389.19,0,20.00%,37129.73,7425.946,1,Q1,Jan-25,31188.9732,80200.22,Jan-25
ORD00023,Educational Book,Books,48258.19,4,193032.76,23-06-2024,UPI,1.6,June,2024,38606.552,16,Retail,South,193032.76,0,20.00%,48258.19,9651.638,6,Q2,Jun-24,30885.2416,162147.52,Jun-24
ORD00024,Bedsheet,Home & Kitchen,32505.96,1,32505.96,19-03-2024,Wallet,2.8,March,2024,6501.192,10,Retail,South,32505.96,0,20.00%,32505.96,6501.192,3,Q1,Mar-24,3250.596,29255.36,Mar-24
ORD00025,Cookware Set,Home & Kitchen,4165.64,2,8331.28,24-11-2024,COD,1.1,November,2024,1666.256,6,Retail,East,8331.28,0,20.00%,4165.64,833.128,11,Q4,Nov-24,499.8768,7831.4,Nov-24
ORD00026,T-Shirt,Clothing,2053.11,4,8212.44,23-07-2024,COD,3.4,July,2024,1642.488,25,Retail,West,8212.44,0,20.00%,2053.11,410.622,7,Q3,Jul-24,2053.11,6159.33,Jul-24
ORD00027,Jeans,Clothing,38927.62,4,155710.48,24-08-2024,Wallet,2.5,August,2024,31142.096,5,Wholesale,North,155710.48,0,20.00%,38927.62,7785.524,8,Q3,Aug-24,7785.524,147924.96,Aug-24
ORD00028,Mixer Grinder,Home & Kitchen,28978.47,4,115913.88,21-07-2024,UPI,2.3,July,2024,23182.776,16,Online,West,115913.88,0,20.00%,28978.47,5795.694,7,Q3,Jul-24,18546.2208,97367.66,Jul-24
ORD00029,Lipstick,Beauty,21293.42,5,106467.1,16-04-2024,Wallet,2.2,April,2024,21293.42,30,Retail,East,106467.1,0,20.00%,21293.42,4258.684,4,Q2,Apr-24,31940.13,74526.97,Apr-24
ORD00030,Lipstick,Beauty,49097.01,4,196388.04,05-08-2024,Credit Card,3.7,August,2024,39277.608,26,Retail,North,196388.04,0,20.00%,49097.01,9819.402,8,Q3,Aug-24,51060.8904,145327.15,Aug-24
ORD00031,Perfume,Beauty,47651.19,1,47651.19,14-04-2024,Net Banking,3.6,April,2024,9530.238,16,Wholesale,East,47651.19,0,20.00%,47651.19,9530.238,4,Q2,Apr-24,7624.1904,40027,Apr-24
ORD00032,Hair Dryer,Beauty,15046.01,5,75230.05,17-10-2024,COD,1.1,October,2024,15046.01,29,Online,East,75230.05,0,20.00%,15046.01,3009.202,10,Q4,Oct-24,21816.7145,53413.34,Oct-24
ORD00033,Laptop,Electronics,36980.1,3,110940.3,01-10-2024,COD,3.2,October,2024,22188.06,21,Online,South,110940.3,0,20.00%,36980.1,7396.02,10,Q4,Oct-24,23297.463,87642.84,Oct-24
ORD00034,Table Lamp,Home & Kitchen,38144.67,2,76289.34,15-07-2024,Net Banking,3.1,July,2024,15257.868,14,Wholesale,North,76289.34,0,20.00%,38144.67,7628.934,7,Q3,Jul-24,10680.5076,65608.83,Jul-24
ORD00035,Laptop,Electronics,49355.45,2,98710.9,01-05-2024,COD,3.5,May,2024,19742.18,20,Wholesale,South,98710.9,0,20.00%,49355.45,9871.09,5,Q2,May-24,19742.18,78968.72,May-24
ORD00036,Shampoo,Beauty,12945.96,3,38837.88,10-06-2024,Wallet,1.4,June,2024,7767.576,19,Online,North,38837.88,0,20.00%,12945.96,2589.192,6,Q2,Jun-24,7379.1972,31458.68,Jun-24
ORD00037,Perfume,Beauty,34927.79,4,139711.16,27-06-2024,Credit Card,1.1,June,2024,27942.232,19,Retail,East,139711.16,0,20.00%,34927.79,6985.558,6,Q2,Jun-24,26545.1204,113166.04,Jun-24
ORD00038,Table Lamp,Home & Kitchen,3677.4,3,11032.2,31-07-2024,UPI,3.7,July,2024,2206.44,23,Online,East,11032.2,0,20.00%,3677.4,735.48,7,Q3,Jul-24,2537.406,8494.79,Jul-24
ORD00039,Comic Book,Books,37004.54,4,148018.16,26-10-2024,Debit Card,4,October,2024,29603.632,16,Wholesale,West,148018.16,0,20.00%,37004.54,7400.908,10,Q4,Oct-24,23682.9056,124335.25,Oct-24
ORD00040,Cookbook,Books,27961.78,5,139808.9,23-02-2024,Net Banking,4,February,2024,27961.78,27,Retail,North,139808.9,0,20.00%,27961.78,5592.356,2,Q1,Feb-24,37748.403,102060.5,Feb-24
ORD00041,Comic Book,Books,2655.8,2,5311.6,12-02-2024,Net Banking,3.7,February,2024,1062.32,24,Retail,South,5311.6,0,20.00%,2655.8,531.16,2,Q1,Feb-24,1274.784,4036.82,Feb-24
ORD00042,Headphones,Electronics,965.51,4,3862.04,06-06-2024,COD,3.5,June,2024,772.408,29,Wholesale,West,3862.04,0,20.00%,965.51,193.102,6,Q2,Jun-24,1119.9916,2742.05,Jun-24
ORD00043,Bedsheet,Home & Kitchen,2980.08,3,8940.24,14-12-2024,Net Banking,4.2,December,2024,1788.048,7,Wholesale,West,8940.24,0,20.00%,2980.08,596.016,12,Q4,Dec-24,625.8168,8314.42,Dec-24
ORD00044,Mixer Grinder,Home & Kitchen,8598.58,1,8598.58,09-10-2024,Debit Card,1.1,October,2024,1719.716,9,Wholesale,West,8598.58,0,20.00%,8598.58,1719.716,10,Q4,Oct-24,773.8722,7824.71,Oct-24
ORD00045,Shampoo,Beauty,31850.15,2,63700.3,14-04-2024,Net Banking,2.8,April,2024,12740.06,23,Online,South,63700.3,0,20.00%,31850.15,6370.03,4,Q2,Apr-24,14651.069,49049.23,Apr-24
ORD00046,Smartwatch,Electronics,33443.32,5,167216.6,15-02-2024,UPI,2.4,February,2024,33443.32,11,Online,West,167216.6,0,20.00%,33443.32,6688.664,2,Q1,Feb-24,18393.826,148822.77,Feb-24
ORD00047,Jacket,Clothing,29592.5,5,147962.5,25-07-2024,Net Banking,4.7,July,2024,29592.5,25,Retail,South,147962.5,0,20.00%,29592.5,5918.5,7,Q3,Jul-24,36990.625,110971.88,Jul-24
ORD00048,Hair Dryer,Beauty,11187.38,4,44749.52,22-06-2024,Wallet,2.3,June,2024,8949.904,13,Wholesale,West,44749.52,0,20.00%,11187.38,2237.476,6,Q2,Jun-24,5817.4376,38932.08,Jun-24
ORD00049,Bedsheet,Home & Kitchen,23898.58,5,119492.9,28-11-2024,Credit Card,3.3,November,2024,23898.58,11,Retail,South,119492.9,0,20.00%,23898.58,4779.716,11,Q4,Nov-24,13144.219,106348.68,Nov-24
ORD00050,Comic Book,Books,1391.49,4,5565.96,11-08-2024,Credit Card,4.5,August,2024,1113.192,22,Retail,East,5565.96,0,20.00%,1391.49,278.298,8,Q3,Aug-24,1224.5112,4341.45,Aug-24
ORD00051,Jeans,Clothing,18607.69,5,93038.45,10-09-2024,COD,2.4,September,2024,18607.69,8,Retail,East,93038.45,0,20.00%,18607.69,3721.538,9,Q3,Sep-24,7443.076,85595.37,Sep-24
ORD00052,Fiction Novel,Books,46224.88,3,138674.64,30-10-2024,Credit Card,4.1,October,2024,27734.928,29,Retail,East,138674.64,0,20.00%,46224.88,9244.976,10,Q4,Oct-24,40215.6456,98458.99,Oct-24
ORD00053,Tablet,Electronics,11864.13,5,59320.65,11-11-2024,Debit Card,1.3,November,2024,11864.13,18,Wholesale,East,59320.65,0,20.00%,11864.13,2372.826,11,Q4,Nov-24,10677.717,48642.93,Nov-24
ORD00054,Comic Book,Books,7757.2,5,38786,22-11-2024,Wallet,2.2,November,2024,7757.2,22,Retail,East,38786,0,20.00%,7757.2,1551.44,11,Q4,Nov-24,8532.92,30253.08,Nov-24
ORD00055,Smartwatch,Electronics,29745,1,29745,04-10-2024,UPI,3.6,October,2024,5949,30,Wholesale,West,29745,0,20.00%,29745,5949,10,Q4,Oct-24,8923.5,20821.5,Oct-24
ORD00056,Jeans,Clothing,39176.54,5,195882.7,04-04-2024,Net Banking,4.1,April,2024,39176.54,13,Wholesale,West,195882.7,0,20.00%,39176.54,7835.308,4,Q2,Apr-24,25464.751,170417.95,Apr-24
ORD00057,Jeans,Clothing,18075.19,5,90375.95,03-09-2024,Debit Card,1.7,September,2024,18075.19,30,Online,West,90375.95,0,20.00%,18075.19,3615.038,9,Q3,Sep-24,27112.785,63263.17,Sep-24
ORD00058,Self-Help Book,Books,18830.59,4,75322.36,16-05-2024,Net Banking,3.6,May,2024,15064.472,25,Wholesale,South,75322.36,0,20.00%,18830.59,3766.118,5,Q2,May-24,18830.59,56491.77,May-24
ORD00059,Headphones,Electronics,38476.48,4,153905.92,30-08-2024,Credit Card,2,August,2024,30781.184,6,Online,South,153905.92,0,20.00%,38476.48,7695.296,8,Q3,Aug-24,9234.3552,144671.56,Aug-24
ORD00060,Laptop,Electronics,27120.36,2,54240.72,13-06-2024,Credit Card,3.8,June,2024,10848.144,24,Wholesale,South,54240.72,0,20.00%,27120.36,5424.072,6,Q2,Jun-24,13017.7728,41222.95,Jun-24
ORD00061,Cookbook,Books,31627,5,158135,28-07-2024,Debit Card,3.1,July,2024,31627,19,Wholesale,South,158135,0,20.00%,31627,6325.4,7,Q3,Jul-24,30045.65,128089.35,Jul-24
ORD00062,Comic Book,Books,14505.79,3,43517.37,10-07-2024,UPI,3.9,July,2024,8703.474,11,Wholesale,East,43517.37,0,20.00%,14505.79,2901.158,7,Q3,Jul-24,4786.9107,38730.46,Jul-24
ORD00063,Smartwatch,Electronics,15229.67,3,45689.01,21-07-2024,Credit Card,2.7,July,2024,9137.802,16,Online,East,45689.01,0,20.00%,15229.67,3045.934,7,Q3,Jul-24,7310.2416,38378.77,Jul-24
ORD00064,Table Lamp,Home & Kitchen,2158.12,3,6474.36,02-01-2025,COD,3.4,January,2025,1294.872,12,Online,East,6474.36,0,20.00%,2158.12,431.624,1,Q1,Jan-25,776.9232,5697.44,Jan-25
ORD00065,Lipstick,Beauty,11106.19,2,22212.38,22-12-2024,Wallet,1.1,December,2024,4442.476,19,Retail,North,22212.38,0,20.00%,11106.19,2221.238,12,Q4,Dec-24,4220.3522,17992.03,Dec-24
ORD00066,Educational Book,Books,21690.55,2,43381.1,28-11-2024,Credit Card,1.9,November,2024,8676.22,7,Online,West,43381.1,0,20.00%,21690.55,4338.11,11,Q4,Nov-24,3036.677,40344.42,Nov-24
ORD00067,Hair Dryer,Beauty,4225.69,4,16902.76,06-05-2024,Credit Card,2.5,May,2024,3380.552,18,Online,South,16902.76,0,20.00%,4225.69,845.138,5,Q2,May-24,3042.4968,13860.26,May-24
ORD00068,Smartwatch,Electronics,23621.02,1,23621.02,26-02-2024,Wallet,4.7,February,2024,4724.204,21,Online,South,23621.02,0,20.00%,23621.02,4724.204,2,Q1,Feb-24,4960.4142,18660.61,Feb-24
ORD00069,Educational Book,Books,38937.92,3,116813.76,08-04-2024,Credit Card,3.4,April,2024,23362.752,8,Online,East,116813.76,0,20.00%,38937.92,7787.584,4,Q2,Apr-24,9345.1008,107468.66,Apr-24
ORD00070,Cookware Set,Home & Kitchen,2707.97,1,2707.97,28-04-2024,Net Banking,1.2,April,2024,541.594,22,Retail,South,2707.97,0,20.00%,2707.97,541.594,4,Q2,Apr-24,595.7534,2112.22,Apr-24
ORD00071,Face Cream,Beauty,23715.42,4,94861.68,24-03-2024,COD,2,March,2024,18972.336,12,Online,South,94861.68,0,20.00%,23715.42,4743.084,3,Q1,Mar-24,11383.4016,83478.28,Mar-24
ORD00072,Tablet,Electronics,9083.5,2,18167,05-07-2024,UPI,1.8,July,2024,3633.4,8,Wholesale,West,18167,0,20.00%,9083.5,1816.7,7,Q3,Jul-24,1453.36,16713.64,Jul-24
ORD00073,Lipstick,Beauty,26379.35,4,105517.4,07-09-2024,UPI,3,September,2024,21103.48,6,Wholesale,East,105517.4,0,20.00%,26379.35,5275.87,9,Q3,Sep-24,6331.044,99186.36,Sep-24
ORD00074,Jacket,Clothing,34023.96,3,102071.88,13-02-2024,Credit Card,4.6,February,2024,20414.376,10,Online,West,102071.88,0,20.00%,34023.96,6804.792,2,Q1,Feb-24,10207.188,91864.69,Feb-24
ORD00075,Sneakers,Clothing,1542.1,4,6168.4,25-08-2024,Credit Card,1,August,2024,1233.68,26,Online,North,6168.4,0,20.00%,1542.1,308.42,8,Q3,Aug-24,1603.784,4564.62,Aug-24
ORD00076,Fiction Novel,Books,42981.08,3,128943.24,25-03-2024,COD,3.8,March,2024,25788.648,14,Wholesale,North,128943.24,0,20.00%,42981.08,8596.216,3,Q1,Mar-24,18052.0536,110891.19,Mar-24
ORD00077,Sofa Cover,Home & Kitchen,46338.29,5,231691.45,22-03-2024,COD,3.4,March,2024,46338.29,8,Wholesale,North,231691.45,0,20.00%,46338.29,9267.658,3,Q1,Mar-24,18535.316,213156.13,Mar-24
ORD00078,Headphones,Electronics,34161.44,1,34161.44,30-06-2024,Wallet,2.4,June,2024,6832.288,26,Retail,East,34161.44,0,20.00%,34161.44,6832.288,6,Q2,Jun-24,8881.9744,25279.47,Jun-24
ORD00079,Lipstick,Beauty,21317.31,5,106586.55,16-07-2024,Credit Card,4,July,2024,21317.31,22,Wholesale,South,106586.55,0,20.00%,21317.31,4263.462,7,Q3,Jul-24,23449.041,83137.51,Jul-24
ORD00080,Face Cream,Beauty,46011.84,4,184047.36,01-05-2024,COD,3.3,May,2024,36809.472,30,Wholesale,East,184047.36,0,20.00%,46011.84,9202.368,5,Q2,May-24,55214.208,128833.15,May-24
ORD00081,Perfume,Beauty,2097.99,1,2097.99,09-02-2025,Debit Card,3.2,February,2025,419.598,16,Online,East,2097.99,0,20.00%,2097.99,419.598,2,Q1,Feb-25,335.6784,1762.31,Feb-25
ORD00082,Smartphone,Electronics,17104.91,3,51314.73,10-12-2024,Credit Card,2.7,December,2024,10262.946,6,Wholesale,South,51314.73,0,20.00%,17104.91,3420.982,12,Q4,Dec-24,3078.8838,48235.85,Dec-24
ORD00083,Sofa Cover,Home & Kitchen,29326.6,3,87979.8,07-11-2024,Credit Card,4.9,November,2024,17595.96,14,Retail,West,87979.8,0,20.00%,29326.6,5865.32,11,Q4,Nov-24,12317.172,75662.63,Nov-24
ORD00084,Headphones,Electronics,28892.73,4,115570.92,11-11-2024,COD,1.3,November,2024,23114.184,8,Wholesale,North,115570.92,0,20.00%,28892.73,5778.546,11,Q4,Nov-24,9245.6736,106325.25,Nov-24
ORD00085,Tablet,Electronics,35033.12,4,140132.48,03-12-2024,UPI,4.7,December,2024,28026.496,18,Online,West,140132.48,0,20.00%,35033.12,7006.624,12,Q4,Dec-24,25223.8464,114908.63,Dec-24
ORD00086,Jeans,Clothing,40069.3,3,120207.9,27-10-2024,Debit Card,2.4,October,2024,24041.58,20,Online,North,120207.9,0,20.00%,40069.3,8013.86,10,Q4,Oct-24,24041.58,96166.32,Oct-24
ORD00087,Comic Book,Books,20613.14,4,82452.56,30-05-2024,UPI,3.4,May,2024,16490.512,19,Wholesale,East,82452.56,0,20.00%,20613.14,4122.628,5,Q2,May-24,15665.9864,66786.57,May-24
ORD00088,Cookware Set,Home & Kitchen,3432,5,17160,12-04-2024,Credit Card,3.4,April,2024,3432,12,Online,North,17160,0,20.00%,3432,686.4,4,Q2,Apr-24,2059.2,15100.8,Apr-24
ORD00089,Shampoo,Beauty,25752.65,3,77257.95,28-06-2024,Net Banking,2.5,June,2024,15451.59,18,Retail,East,77257.95,0,20.00%,25752.65,5150.53,6,Q2,Jun-24,13906.431,63351.52,Jun-24
ORD00090,Smartwatch,Electronics,30238.47,2,60476.94,24-09-2024,Net Banking,4,September,2024,12095.388,27,Retail,West,60476.94,0,20.00%,30238.47,6047.694,9,Q3,Sep-24,16328.7738,44148.17,Sep-24
ORD00091,Bedsheet,Home & Kitchen,34293.38,4,137173.52,01-04-2024,Net Banking,4.4,April,2024,27434.704,29,Wholesale,East,137173.52,0,20.00%,34293.38,6858.676,4,Q2,Apr-24,39780.3208,97393.2,Apr-24
ORD00092,Perfume,Beauty,19498.32,2,38996.64,23-11-2024,Credit Card,3.6,November,2024,7799.328,12,Wholesale,West,38996.64,0,20.00%,19498.32,3899.664,11,Q4,Nov-24,4679.5968,34317.04,Nov-24
ORD00093,T-Shirt,Clothing,39355.59,1,39355.59,22-10-2024,Wallet,2.9,October,2024,7871.118,25,Wholesale,South,39355.59,0,20.00%,39355.59,7871.118,10,Q4,Oct-24,9838.8975,29516.69,Oct-24
ORD00094,Cookbook,Books,26575.86,2,53151.72,23-05-2024,Wallet,2,May,2024,10630.344,20,Online,South,53151.72,0,20.00%,26575.86,5315.172,5,Q2,May-24,10630.344,42521.38,May-24
ORD00095,Headphones,Electronics,12506.31,3,37518.93,12-01-2025,UPI,1.4,January,2025,7503.786,17,Retail,South,37518.93,0,20.00%,12506.31,2501.262,1,Q1,Jan-25,6378.2181,31140.71,Jan-25
ORD00096,T-Shirt,Clothing,19180.77,3,57542.31,28-01-2025,Wallet,3.9,January,2025,11508.462,22,Retail,East,57542.31,0,20.00%,19180.77,3836.154,1,Q1,Jan-25,12659.3082,44883,Jan-25
ORD00097,Bedsheet,Home & Kitchen,8877.51,5,44387.55,31-05-2024,UPI,2.5,May,2024,8877.51,19,Online,South,44387.55,0,20.00%,8877.51,1775.502,5,Q2,May-24,8433.6345,35953.92,May-24
ORD00098,Sneakers,Clothing,32348.92,2,64697.84,02-02-2025,Credit Card,3.1,February,2025,12939.568,25,Retail,North,64697.84,0,20.00%,32348.92,6469.784,2,Q1,Feb-25,16174.46,48523.38,Feb-25
ORD00099,Smartwatch,Electronics,19375.76,2,38751.52,06-12-2024,Credit Card,2.1,December,2024,7750.304,28,Wholesale,West,38751.52,0,20.00%,19375.76,3875.152,12,Q4,Dec-24,10850.4256,27901.09,Dec-24
ORD00100,Educational Book,Books,48157.93,1,48157.93,05-09-2024,COD,2.4,September,2024,9631.586,30,Wholesale,West,48157.93,0,20.00%,48157.93,9631.586,9,Q3,Sep-24,14447.379,33710.55,Sep-24
ORD00101,Laptop,Electronics,4360.05,4,17440.2,18-01-2025,Wallet,3.3,January,2025,3488.04,29,Wholesale,North,17440.2,0,20.00%,4360.05,872.01,1,Q1,Jan-25,5057.658,12382.54,Jan-25
ORD00102,Jacket,Clothing,38093.14,1,38093.14,22-10-2024,Credit Card,3,October,2024,7618.628,17,Retail,East,38093.14,0,20.00%,38093.14,7618.628,10,Q4,Oct-24,6475.8338,31617.31,Oct-24
ORD00103,Educational Book,Books,32788.2,5,163941,07-07-2024,Credit Card,4,July,2024,32788.2,13,Wholesale,East,163941,0,20.00%,32788.2,6557.64,7,Q3,Jul-24,21312.33,142628.67,Jul-24
ORD00104,Comic Book,Books,42715.55,1,42715.55,14-07-2024,Credit Card,4.4,July,2024,8543.11,19,Online,West,42715.55,0,20.00%,42715.55,8543.11,7,Q3,Jul-24,8115.9545,34599.6,Jul-24
ORD00105,Perfume,Beauty,28758.42,5,143792.1,22-09-2024,Net Banking,3.7,September,2024,28758.42,17,Online,South,143792.1,0,20.00%,28758.42,5751.684,9,Q3,Sep-24,24444.657,119347.44,Sep-24
ORD00106,Educational Book,Books,22555.21,2,45110.42,10-05-2024,UPI,4.3,May,2024,9022.084,5,Retail,East,45110.42,0,20.00%,22555.21,4511.042,5,Q2,May-24,2255.521,42854.9,May-24
ORD00107,Dress,Clothing,33613.18,1,33613.18,24-08-2024,Wallet,3.5,August,2024,6722.636,29,Online,East,33613.18,0,20.00%,33613.18,6722.636,8,Q3,Aug-24,9747.8222,23865.36,Aug-24
ORD00108,T-Shirt,Clothing,44639,5,223195,04-05-2024,Credit Card,1.1,May,2024,44639,11,Online,North,223195,0,20.00%,44639,8927.8,5,Q2,May-24,24551.45,198643.55,May-24
ORD00109,Jeans,Clothing,11785.4,5,58927,25-06-2024,Wallet,1.6,June,2024,11785.4,13,Retail,North,58927,0,20.00%,11785.4,2357.08,6,Q2,Jun-24,7660.51,51266.49,Jun-24
ORD00110,Self-Help Book,Books,30826.72,1,30826.72,04-08-2024,UPI,3.9,August,2024,6165.344,28,Wholesale,South,30826.72,0,20.00%,30826.72,6165.344,8,Q3,Aug-24,8631.4816,22195.24,Aug-24
ORD00111,Jacket,Clothing,35811.1,4,143244.4,11-09-2024,Net Banking,1.9,September,2024,28648.88,5,Wholesale,East,143244.4,0,20.00%,35811.1,7162.22,9,Q3,Sep-24,7162.22,136082.18,Sep-24
ORD00112,Shampoo,Beauty,45387.99,3,136163.97,23-12-2024,COD,4.8,December,2024,27232.794,16,Wholesale,East,136163.97,0,20.00%,45387.99,9077.598,12,Q4,Dec-24,21786.2352,114377.73,Dec-24
ORD00113,Sofa Cover,Home & Kitchen,39263.94,5,196319.7,05-08-2024,Wallet,3.8,August,2024,39263.94,12,Retail,North,196319.7,0,20.00%,39263.94,7852.788,8,Q3,Aug-24,23558.364,172761.34,Aug-24
ORD00114,Educational Book,Books,19787.61,1,19787.61,07-10-2024,Debit Card,3.9,October,2024,3957.522,28,Online,East,19787.61,0,20.00%,19787.61,3957.522,10,Q4,Oct-24,5540.5308,14247.08,Oct-24
ORD00115,Jacket,Clothing,26219.99,4,104879.96,14-03-2024,Debit Card,2.1,March,2024,20975.992,15,Wholesale,West,104879.96,0,20.00%,26219.99,5243.998,3,Q1,Mar-24,15731.994,89147.97,Mar-24
ORD00116,Lipstick,Beauty,14286.02,4,57144.08,25-05-2024,UPI,3.7,May,2024,11428.816,23,Wholesale,North,57144.08,0,20.00%,14286.02,2857.204,5,Q2,May-24,13143.1384,44000.94,May-24
ORD00117,T-Shirt,Clothing,13019.07,3,39057.21,02-02-2025,Credit Card,2.8,February,2025,7811.442,21,Retail,South,39057.21,0,20.00%,13019.07,2603.814,2,Q1,Feb-25,8202.0141,30855.2,Feb-25
ORD00118,Face Cream,Beauty,43488.42,3,130465.26,18-07-2024,Net Banking,3,July,2024,26093.052,12,Wholesale,North,130465.26,0,20.00%,43488.42,8697.684,7,Q3,Jul-24,15655.8312,114809.43,Jul-24
ORD00119,Cookbook,Books,30903.49,4,123613.96,10-09-2024,Net Banking,1.7,September,2024,24722.792,7,Retail,East,123613.96,0,20.00%,30903.49,6180.698,9,Q3,Sep-24,8652.9772,114960.98,Sep-24
ORD00120,Table Lamp,Home & Kitchen,37405.46,4,149621.84,15-01-2025,Wallet,1.3,January,2025,29924.368,7,Online,South,149621.84,0,20.00%,37405.46,7481.092,1,Q1,Jan-25,10473.5288,139148.31,Jan-25
ORD00121,Tablet,Electronics,30593.67,4,122374.68,18-05-2024,COD,1.5,May,2024,24474.936,5,Retail,North,122374.68,0,20.00%,30593.67,6118.734,5,Q2,May-24,6118.734,116255.95,May-24
